hip,ra,dec,magnitude,B-V
1,0.0009166666666666666,1.089,9.1,0.482
2,0.0037916666666666667,-19.498833333333334,9.27,0.999
3,0.005,38.85927777777778,6.61,-0.019
4,0.008374999999999999,-51.89355555555556,8.06,0.37
5,0.009958333333333333,-40.59122222222222,8.55,0.902
6,0.018125,3.9465000000000003,12.31,1.336
7,0.022541666666666668,20.036611111111114,9.64,0.74
8,0.027291666666666665,25.88647222222222,9.05,1.102
9,0.035333333333333335,36.58594444444444,8.59,1.067
10,0.03625,-50.86708333333333,8.59,0.489
11,0.03729166666666666,46.94,7.34,0.081
12,0.04091666666666667,-35.96022222222223,8.43,1.484
13,0.041666666666666664,-22.594694444444443,8.8,1.128
14,0.04829166666666666,-0.36041666666666666,7.25,1.2
15,0.050291666666666665,50.79116666666666,8.6,1.166
17,0.051083333333333335,-40.19233333333333,8.15,0.425
16,0.051416666666666666,-54.914138888888886,11.71,0.421
18,0.053125,-4.05375,11.03,1.567
19,0.05333333333333334,38.30408333333333,6.53,0.955
20,0.06295833333333332,23.529277777777775,8.51,0.516
21,0.06625,8.007222222222222,7.55,1.438
22,0.07012499999999999,-49.35227777777778,8.69,0.962
23,0.07441666666666666,13.312222222222223,7.57,0.456
24,0.07604166666666666,-23.452749999999998,9.05,0.528
25,0.079375,-44.290305555555555,6.28,0.763
26,0.08433333333333333,-13.393305555555555,9.13,0.535
27,0.08545833333333334,-41.29752777777777,9.32,0.671
28,0.08725000000000001,-43.361805555555556,8.83,0.468
29,0.092125,-49.10794444444445,9.14,1.041
30,0.096125,42.1415,8.26,0.142
31,0.09808333333333333,2.675472222222222,7.63,1.453
32,0.09858333333333333,51.939499999999995,9.09,0.04
33,0.09916666666666667,-10.462444444444444,8.1,0.466
34,0.09945833333333334,26.91825,6.43,0.514
35,0.10254166666666666,-14.490472222222222,9.07,0.916
36,0.10329166666666666,12.267083333333334,7.68,1.15
37,0.10533333333333333,-47.17958333333333,10.44,0.391
38,0.11104166666666666,-79.06183333333333,8.65,0.778
39,0.111875,-16.696916666666667,7.46,0.475
41,0.11658333333333333,54.302249999999994,8.7,0.026
40,0.12195833333333334,67.21677777777778,10.61,0.57
42,0.125375,25.844777777777775,8.2,0.387
43,0.12908333333333333,59.559749999999994,6.18,1.032
44,0.13270833333333334,-3.306361111111111,7.91,1.104
46,0.13454166666666667,-25.62225,8.57,1.035
47,0.13520833333333335,-56.83525,10.78,1.15
48,0.13520833333333335,-40.69044444444444,7.31,1.164
49,0.13949999999999999,16.669027777777778,9.53,0.45
50,0.142875,-53.09766666666667,6.49,0.616
51,0.14337499999999997,1.0661944444444444,8.94,0.906
52,0.14666666666666667,-77.0201388888889,8.56,0.196
54,0.15166666666666667,17.968944444444443,10.57,1.03
55,0.15783333333333335,-66.68311111111112,7.4,0.551
56,0.16283333333333333,0.22294444444444445,8.12,1.329
57,0.16829166666666667,-69.67580555555556,8.27,0.863
58,0.17375000000000002,62.175999999999995,7.05,0.52
59,0.17445833333333333,55.72247222222222,9.09,0.091
60,0.17541666666666667,-64.46583333333334,8.34,0.386
61,0.17616666666666667,53.82219444444445,8.86,1.081
62,0.17995833333333333,-45.42272222222222,8.27,0.994
63,0.18175,45.25333333333333,6.36,-0.047
64,0.18458333333333332,-27.907555555555554,8.08,1.156
65,0.18795833333333334,-54.830333333333336,11.0,1.147
66,0.18854166666666666,-72.31824999999999,8.55,0.401
67,0.19908333333333333,23.53825,7.83,0.495
68,0.200625,16.988972222222223,8.79,0.94
69,0.201375,30.395888888888887,8.33,0.135
70,0.20279166666666668,36.77763888888889,10.42,0.706
71,0.20708333333333334,36.780166666666666,8.26,0.846
72,0.21945833333333334,-12.828666666666667,8.97,0.671
73,0.2204583333333333,66.84797222222221,6.9,1.446
74,0.221875,35.752722222222225,9.93,1.068
75,0.22316666666666668,-50.44647222222222,7.42,1.524
76,0.22820833333333335,32.82566666666667,9.03,1.67
77,0.23054166666666664,-30.06416666666667,8.41,0.022
78,0.2323333333333333,17.867833333333333,8.06,1.203
79,0.23570833333333333,35.316750000000006,8.69,0.529
80,0.24179166666666665,-11.823527777777777,8.4,0.566
81,0.243875,-4.932111111111111,8.57,0.642
82,0.24804166666666666,-10.935805555555556,9.5,1.107
83,0.24808333333333332,52.080555555555556,8.85,1.726
84,0.2517916666666667,27.886333333333333,9.61,0.852
85,0.256,-24.714055555555554,10.62,0.359
86,0.260375,69.6035,8.05,0.018
87,0.2615,-5.834972222222222,7.8,0.43
88,0.26916666666666667,-48.80986111111111,5.71,0.911
89,0.2771666666666667,53.16694444444444,7.87,1.566
90,0.28,-41.88741666666667,7.64,0.5
91,0.28058333333333335,-5.874333333333333,7.66,1.3
92,0.290625,-20.705583333333333,8.68,0.944
93,0.29220833333333335,-0.07591666666666666,8.12,0.619
94,0.29483333333333334,-32.75680555555556,10.1,0.644
95,0.30204166666666665,-11.963999999999999,8.67,0.513
96,0.304875,13.97475,10.46,1.36
98,0.3071666666666667,-52.79858333333333,9.87,0.551
97,0.30733333333333335,-21.404055555555555,9.48,0.53
99,0.316,60.35530555555556,7.04,2.835
100,0.31645833333333334,19.741305555555556,8.44,0.898
101,0.31975,-47.79383333333333,9.88,0.509
102,0.3204166666666667,-41.48736111111111,7.05,1.55
103,0.322125,-68.37102777777777,8.29,0.538
104,0.32675,-31.89961111111111,9.34,0.543
105,0.3278333333333333,70.92894444444445,7.73,0.455
106,0.33016666666666666,49.98158333333333,6.22,0.97
107,0.33379166666666665,-50.33738888888889,5.53,1.615
108,0.3365416666666667,-70.12530555555554,8.53,1.315
109,0.34658333333333335,6.7915,7.23,0.388
110,0.34870833333333334,39.61080555555556,8.61,0.787
111,0.34908333333333336,34.28186111111111,11.28,1.308
112,0.35691666666666666,-16.947833333333335,10.76,1.384
113,0.365625,49.010416666666664,8.93,0.021
114,0.37166666666666665,30.73588888888889,7.95,0.654
115,0.3725833333333333,-62.92316666666667,7.46,0.16
116,0.375375,-33.79269444444444,8.6,0.435
117,0.3804166666666667,-72.60591666666666,8.55,1.093
118,0.38649999999999995,-9.430027777777777,9.2,0.606
119,0.3902083333333333,44.675444444444445,6.82,1.071
120,0.396,-45.34469444444445,8.29,1.183
121,0.39645833333333336,28.42377777777778,6.83,1.197
122,0.39937500000000004,-77.06530555555555,4.78,1.254
123,0.40025,72.23661111111112,7.21,1.169
124,0.40425,61.22280555555556,5.58,0.407
125,0.40475,-39.336666666666666,8.7,0.366
126,0.40875,14.632305555555556,8.06,0.969
127,0.41208333333333336,-48.93516666666666,10.86,0.942
128,0.41374999999999995,73.61188888888888,6.5,0.182
129,0.4155833333333333,5.37275,9.32,0.559
130,0.41825,-30.6925,9.14,1.08
131,0.4199583333333333,62.018138888888885,8.13,0.2
132,0.42200000000000004,-34.6535,10.62,0.358
133,0.423375,-40.148666666666664,6.62,0.545
134,0.425125,-1.1399722222222222,9.96,0.264
135,0.42675,-0.2175,8.64,0.62
136,0.428625,24.253194444444443,6.6,1.153
137,0.43270833333333336,42.36713888888889,6.25,-0.042
138,0.4372083333333333,-16.53172222222222,7.83,1.074
139,0.44529166666666664,67.50697222222222,10.03,1.289
140,0.45266666666666666,-68.10480555555554,9.04,0.546
141,0.4534166666666667,36.35033333333333,8.47,1.35
142,0.45375,66.306,7.33,0.73
144,0.4550833333333333,76.17561111111111,8.66,1.364
143,0.45516666666666666,21.462138888888887,10.35,1.033
145,0.45599999999999996,-3.0274722222222223,5.13,-0.128
146,0.4562083333333333,-25.797694444444446,8.96,0.306
147,0.4660416666666667,21.026249999999997,8.49,1.569
149,0.4786666666666667,26.005583333333334,11.26,0.932
148,0.4787916666666666,15.528527777777777,8.15,0.584
150,0.480375,-37.22983333333333,7.04,1.06
152,0.4844583333333333,-28.130944444444445,10.02,0.456
153,0.48454166666666665,12.654944444444444,8.9,0.459
