ID,IAU-EN,ENGLISH,IAU-ITA,ITALIANO
ecl,ecliptic,ecliptic,eclittica,eclittica
hor,horizon,horizon,orizzonte,orizzonte
UMi,Ursa\nMinor,Little  Bear,Ursa\nMinor,Orsa\nMinore
.UMig,Guardians,Guardians,Guardians,Guardiani
Dra,Draco,Dragon,Draco,Dragone
.Draf,feet,feet,zampe,zampe
.Drah,head,head,testa,testa
.Drat1,tail,tail,coda,coda
.Drat2,tail,tail,coda,coda
Cas,Cassiopeia,Cassiopeia,Cassiopeia,Cassiopeia
Cep,Cepheus,Cepheus,Cepheus,Cefeo
Cam,Camelopardalis,Giraffe,Camelopardalis,Giraffa
UMa,Ursa\n Major,Big Bear,Ursa\n Major,Orsa\nMaggiore
.UMap,Pointers,Pointers,Puntatori,Puntatori
.UMah,head,head,testa,testa
.UMap1,paws,paws,zampe,zampe
.UMap2,paws,paws,zampe,zampe
.UMar,rump,rump,groppa,groppa
Leo,Leo,Lion,Leone,Leone
.Leoh,head,head,testa,testa
.Leot,tail,tail,coda,coda
CVn,Canes \n Venatici,Hunting \n dogs,Canes \n Venatici,Cani da \n caccia
LMi,Leo Minor,Little Lion,Leo Minor,Leone \n Minore
Boo,Bootes,Bootes,Bootes,Bootes
.Boob,body,body,corpo,corpo
.Booh,head,head,testa,testa
.Boop,pipe,pipe,pipa,pipa
CrB,Corona Borealis,Northern\nCrown,Corona Borealis,Corona\nBoreale
Com,Coma Berenices,Berenix's\nHair,Coma Berenices,Chioma di\nBerenice
Lyr,Lyra,Lyre,Lyra,Lira
Cyg,Cygnus,Swan,Cygnus,Cigno
.Cygw1,wing,wing,ala,ala
.Cygw2,wing,wing,ala,ala
.Cygf,feet,feet,zampe,zampe
.Cygn,outstretched neck,outstretched\nneck,collo\nallungato,collo\nallungato
Her,Hercules,Hercules,Hercules,Ercole
.Herk,Keystone,Keystone,Chiave\ndi volta,Chiave\ndi volta
.Herc,club,club,clava,clava
Vul,Vulpecula,Little\nFox,Vulpecula,Piccola\nVolpe
And,Andromeda,Andromeda,Andromeda,Andromeda
.Andc,the chain,the chain,catene,catene
Peg,Pegasus,Pegasus,Pegasus,Pegaso
.Pegh,head,head,testa,testa
.Pegt,tail,tail,coda,coda
.Pegw,wing,wing,ala,ala
Tri,Triangulum,Triangle,Triangulum,Triangolo
Lac,Lacerta,Lizard,Lacerta,Lucertola
Per,Perseus,Preseus,Perseus,Perseo
Tau,Taurus,Bull,Taurus,Toro
.Tauh,head,head,testa,testa
.Tauc1,horn,horn,corno,corno
.Tauc2,horn,horn,corno,corno
.Taut,tail,tail,coda,coda
Ari,Aries,Ram,Aries,Ariete
.Arih,head,head,testa,testa
.Arit,tail,tail,coda,coda
Gem,Gemini,testa,Gemini,Gemelli
Aur,Auriga,Auriga,Auriga,Auriga
CMi,Canis\n Minor,Little\ndog,Canis\n Minor,Cane\nminore
Cnc,Cancer,Crab,Cancer,Cancro
Lyn,Lynx,Lynx,Lynx,Lince
Ori,Orion,Orion,Orion,Orione
.Orib,belt,belt,cintura,cintura
.Oric,club,club,mazza,mazza
.Oris,shield,shield,scudo,scudo
CMa,Canis Major,Big\ndog,Canis Major,Cane\nmaggiore
Lep,Lepus,Hare,Lepus,Lepre
Mon,Monoceros,Unicorn,Monoceros,Unicorno
