ID,COMMON,ENGLISH,ITALIANO
ecl,ecliptic,ecliptic,eclittica
hor,horizon,horizon,orizzonte
UMi,Ursa\nMinor,Little  Bear,Orsa\nMinore
.UMig,Guardians,Guardians,Guardiani
Dra,Draco,Dragon,Dragone
.Draf,feet,feet,zampe
.Drah,head,head,testa
.Drat1,tail,tail,coda
.Drat2,tail,tail,coda
Cas,Cassiopeia,Cassiopeia,Cassiopeia
Cep,Cepheus,Cepheus,Cefeo
Cam,Camelopardalis,Giraffe,Giraffa
UMa,Ursa\n Major,Big Bear,Orsa\nMaggiore
.UMap,Pointers,pointers,puntatori
.UMah,head,head,testa
.UMap1,paws,paws,zampe
.UMap2,paws,paws,zampe
.UMar,rump,rump,groppa
Leo,Leo,Lion,Leone
.Leoh,head,head,testa
.Leot,tail,tail,coda
CVn,Canes \n Venatici,Hunting \n dogs,Cani da \n caccia
LMi,Leo Minor,Little Lion,Leone \n minore
Boo,Bootes,Bootes,Bootes
.Boob,body,body,corpo
.Booh,head,head,testa
.Boop,pipe,pipe,pipa
CrB,Corona Borealis,Northern\nCrown,Corona\nBoreale
Com,Coma Berenices,Berenix's\nHair,Chioma di\nBerenice
Lyr,Lyra,Lyre,Lira
Cyg,Cygnus,Swan,Cigno
.Cygw1,wing,wing,ala
.Cygw2,wing,wing,ala
.Cygf,feet,feet,piede
.Cygn,outstretched neck,outstretched\nneck,collo\nallungato
Her,Hercules,Hercules,Ercole
.Herk,Keystone,Keystone,Chiave\ndi volta
.Herc,club,club,clava
Vul,Vulpecula,Little\nFox,Piccola\nVolpe
And,Andromeda,Andromeda,Andromeda
.Andc,the chain,the chain,catene
Peg,Pegasus,Pegasus,Pegaso
.Pegh,head,head,testa
.Pegt,tail,tail,coda
.Pegw,wing,wing,ala
Tri,Triangulum,Triangle,Triangolo
Lac,Lacerta,Lizard,Lucertola
Per,Perseus,Preseus,Perseo
Tau,Taurus,Bull,Toro
.Tauh,head,head,testa
.Tauc1,horn,horn,corno
.Tauc2,horn,horn,corno
.Taut,tail,tail,coda
Ari,Aries,Ram,Ariete
.Arih,head,head,testa
.Arit,tail,tail,coda
Gem,Gemini,Twins,Gemelli
Aur,Auriga,Charioteer,Auriga
CMi,Canis\n Minor,Little\ndog,Cane\nminore
Cnc,Cancer,Crab,Cancro
Lyn,Lynx,Lynx,Lince
Ori,Orion,Orion,Orione
.Orib,belt,belt,cintura
.Oric,club,club,mazza
.Oris,shield,shield,scudo
CMa,Canis Major,Big\ndog,Cane\nmaggiore
